text,label
"iPhone Satellite Upgrade, ChatGPT Down & Samsung AI Robot | Daily Tech News – Apr 20, 2026 iPhones may soon work without internet, ChatGPT faces outage, Samsung reveals AI robot, and India enters advanced chip race. Full tech news update for April 20, 2026.",REAL
"SIR mandates by Constitution, not new; Centre addressing border concerns, says BJP leader BJP national secretary and Meghalaya in-charge Anil Antony on Monday said the Special Intensive Revision (SIR) of electoral rolls is a constitutional mandate being carried out across several states, and the Centre is working to address concerns in border stat…",REAL
"Apple faces $38B penalty risk in India antitrust case, impacting market dynamics Apple's antitrust issues in India could weaken its market position, potentially benefiting competitors like NVIDIA in the global market.
The post Apple faces $38B penalty risk in India antitrust case, impacting market dynamics appeared first on Crypto Briefin…",REAL
"'Grid bottlenecks, execution risks slow power expansion': Report India's renewable energy goals are facing hurdles. Power Grid Corporation of India Ltd, or PGCIL, is struggling with delays in building power transmission lines. These delays are caused by land acquisition and other issues. This is affecting PGCIL's profits a…",REAL
ROOKE: Amazon Removes Classic Anti-Mass Immigration Novel For ‘Offensive Content’ Amazon removed the paperback edition of Jean Raspail's The Camp of the Saints from its U.S. listings on Friday.,REAL
"EPL: It’s a new league now, says Arsenal manager Mikel Arteta Arsenal's manager Mikel Arteta believes his players are more convinced than ever of winning the Premier League. Despite recent defeats, including to Manchester City, Arteta sees the team's performance as a positive sign. He said that the league is still open …",REAL
"CERC proposes Grid India as market coupling operator In a bid to revolutionize electricity trading in India, the National Electricity Regulatory Authority is unveiling proposed regulations that will allow the Grid Controller of India Ltd to implement market coupling. This strategic initiative aims to standardiz…",REAL
"6 of 10 destinations dropped from Bhubaneswar airport roster likely to be reconnected from Aug Air India Express is set to procure 24 new aircraft, including Airbus A320/321 and Boeing 737 models, with deliveries scheduled for July. This fleet expansion is expected to restore domestic air connectivity to at least six dropped destinations from Bhubanesw…",REAL
"'Hurts even more than a breakup': Indian techie left jobless after Big 4 firm cancels offer post selection A tech professional in India faced heartbreak after Deloitte rescinded his job offer post-interview success. Having resigned and completed his notice period, he received an email citing a ""discrepancy review"" as the reason. Despite clearing all interview roun…",REAL
Drug regulator transfers 95 officials in mass reshuffle The Central Drugs Standard Control Organisation has moved about 95 officials across India. This reshuffle aims to improve compliance and lessen the impact of long-serving officers on the pharmaceutical sector. The move follows a structured transfer policy.,REAL
"JEE Main: I quit phone and aced the exams, says Chandigarh boy at AIR 8 Two city-region students secure top ranks; consistency, conceptual clarity key, say toppers",REAL
"India Inc keeps leadership hiring on track-for now Amid ongoing global uncertainties, including geopolitical strife and the rapid evolution of AI, Indian firms are actively seeking to hire top executives. Executive search agencies observe consistent interest in candidates for senior roles, particularly in tec…",REAL
Supreme Court seeks data on NCLT delays in resolution plans The Supreme Court is addressing significant delays in approving resolution plans at the National Company Law Tribunal. It has directed the Insolvency and Bankruptcy Board of India and the NCLT to provide nationwide data on pending applications and reasons for…,REAL
"Distress call captures tanker under fire as Iran shuts Strait of Hormuz and more top headlines - Fox News Distress call captures tanker under fire as Iran shuts Strait of Hormuz and more top headlinesFox News Distress call captures tanker under fire, Iran shuts Hormuz trapping thousands of sailorsFox News Two Indian-flagged ships attacked while crossing Strait of…",REAL
"SC asks NCLAT to take decision on 14 housing projects of debt-ridden Supertech The Supreme Court has directed the NCLAT to quickly decide on merging Supertech's remaining 14 housing projects. This move aims to ensure project completion and resolve homebuyers' long-standing issues. The NCLAT will hear all stakeholders, including land age…",REAL
"Telcos test waters with smaller tariff hikes before big one Bharti Airtel, Vodafone Idea and Reliance Jio are changing their prepaid plans. Airtel has increased prices and added streaming subscriptions. Vodafone Idea is restructuring plans, especially for 5G. Jio reduced validity on a basic plan but also added OTT ben…",REAL
Assam chief secretary holds review after Guwahati cloudburst-like rainfall Guwahati faced severe waterlogging after heavy rainfall. Chief Secretary Ravi Kota reviewed the situation. Authorities are directed to issue timely weather alerts and traffic advisories. National Highways Authority and Guwahati Municipal Corporation are taske…,REAL
"India–South Korea eye $50 billion trade, discuss critical tech, supply chains amid West Asia tensions India and South Korea are set to significantly expand their trade partnership. The goal is to reach $50 billion in bilateral trade by 2030. This expansion will focus on critical technologies and supply chains. Both nations will upgrade their trade agreement n…",REAL
"Room with a view! More branded hotels check into state capitals Branded hotels are set to expand across India's state capitals. Patna alone will see its branded hotel pipeline grow to eleven. Across the country, an estimated 60,253 new hotel rooms are expected in the next five years. Cities like Lucknow, Kolkata, Shimla, …",REAL
"Supply chains breaking: The hidden bottlenecks threatening to bring the global economy to a standstill Many underappreciated bottlenecks are threatening the global economy, with naphtha, diesel, aluminum, sulfur, helium shortages causing havoc Read Full Article at RT.com",REAL
Pawan Khera seeks bail: Khera moves Gauhati HC for anticipatory bail in forgery case; Supreme Court declines earlier protection from arrest Guwahati: All India Congress Committee (AICC) media and publicity chairperson Pawan Khera on Monday moved the Gauhati high court seeking anticipatory .,REAL
"Bus plunges into Udhampur gorge, 21 dead India News: JAMMU: At least 21 passengers died and 51 were injured Monday after their bus skidded off the road and fell into a gorge in Jammu’s Udhampur district..",REAL
"Cultural relations key to soft power: ICCR DG During her address at Nalanda University, ICCR Director General K Nandini Singla underscored the expanding cultural ties that position India as a key player on the global stage. She pointed out how India's approach to soft power, illustrated by initiatives su…",REAL
"ECI identifies over 8,000 'super sensitive' poll booths across West Bengal As West Bengal gears up for elections, authorities have identified more than 8,000 polling booths deemed sensitive. In a proactive approach to maintain order, police have arrested 135 individuals. To bolster security, an innovative AI system is overseeing the…",REAL
India in touch with Iranian authorities for safe exit of its ships through Strait of Hormuz: MEA India is actively engaging with Iran to ensure the safety of its ships. Two Indian vessels recently reported a firing incident in the Strait of Hormuz. The government has conveyed its deep concerns to the Iranian ambassador. India prioritizes the security of …,REAL
Analyst: Trump Tried To Nuke Iran On Saturday According to retired CIA analyst Larry Johnson: During an emergency meeting On Saturday Trump tried to “use the nuclear codes” on Iran and he was stopped by General Dan Caine. According to Johnson “there is seriously something wrong with Trump.”,REAL
"Ahead of Pahalgam anniversary, security tightened in Kashmir Valley India News: SRINAGAR: Ahead of the first anniversary of the Pahalgam terror strike, security has been heightened across the Kashmir Valley. Officials said vigilan.",REAL
BJP eyes repeat win as TMC tries to reclaim lost ground in Kharagpur Sadar constituency Kharagpur Sadar constituency is witnessing a significant electoral battle. BJP's Dilip Ghosh faces Trinamool's Pradip Sarkar in a contest reflecting the area's diverse population. Voters face a tough choice between experienced candidates. The election outcome…,REAL
BJP eyes repeat win as TMC tries to reclaim lost ground in Kharagpur Sadar constituency Kharagpur Sadar constituency is witnessing a significant electoral battle. BJP's Dilip Ghosh faces Trinamool's Pradip Sarkar in a contest reflecting the area's diverse population. Voters face a tough choice between experienced candidates. The election outcome…,REAL
"India's premium liquor boom defies global slowdown India's demand for premium liquor is surging. This trend defies global patterns where consumers are buying less expensive options. Despite a worldwide decline in alcohol sales volume and value, India saw growth. This indicates a strong consumer preference for…",REAL
"The myth of India’s extreme inequality: What the data gets wrong Recent studies reveal a misrepresentation of income inequality in India, challenging the commonly accepted pre-tax Gini coefficient of 0.61. This figure fails to account for essential government welfare initiatives, including vital provisions like food and ho…",REAL
"Pahalgam’s primary defence against tragedy still runs from five rooms India News: PAHALGAM: Routine care at a quiet medical outpost evaporated with a single phone call on April 22 last year. By dusk, the floor was slick with blood. .",REAL
"Astronomy Picture of the Day - Comet R3 PanSTARRS over a Himalayan Valley Explanation: The best way to see comet R3 PanSTARRS’s long tail is with a camera. This week, the recently brightened comet appears in northern skies to the east just before dawn, but is only barely visible to the unaided eye. The many-degree ion tail captured…",REAL
"Book bans at libraries remain at a record high — with 90% of challenges coming from government officials or activists The American Library Association on Monday issued its annual list of the books most challenged at the country’s libraries, part of the association’s State of America’s Libraries Report.",REAL
"Trump vows new Iran nuclear deal will 'guarantee peace', dismisses JCPOA as 'road to nuclear weapon' On Truth Social, Donald Trump has not held back in sharing his critical views on Iran's nuclear deal landscape. He proclaimed that a fresh nuclear agreement would be far superior to the 2015 JCPOA, a pact he regards as a monumental failure.",REAL
"Flick of a switch In today's fast-paced world, stress often feels unavoidable. However, meditation presents a serene refuge to unlock inner peace and resilience. This age-old practice from India is steadily becoming a worldwide phenomenon, guiding people to approach life with …",REAL
"Inside China’s ‘Magic’ factories: The tech playbook India can’t ignore China's state-of-the-art factories reflect its commitment to innovation, backed by robust research and development initiatives. This environment enhances its global edge in manufacturing. Meanwhile, India aspires to establish itself as a manufacturing powerho…",REAL
"XFC Brings Welterweight Championship & Strongest Fight Card Ever to the Hawkeye State at XFC 54: Ascension Saturday CORALVILLE, Iowa, April 20, 2026 (GLOBE NEWSWIRE) -- Xtreme Fighting Championships (XFC), a subsidiary of Xtreme One Entertainment (OTCQB: XONI), today announced the final fight card for its return to Wrestle Town, USA, including its XFC World Welterweight Ch…",REAL
What is the release date for Running Point season 2 on Netflix? It's only been a year since Isla Gordon was last on our screens. But when does Running Point season 2 arrive on Netflix?,REAL
Mumbai stuns Gujarat with a 99-run win after bowling out host for 100 in IPL Mumbai Indians' losing streak in the Indian Premier League ended in stunning fashion after they bowled out Gujarat Titans for 100 on Monday. Mumbai's 99-run ...,REAL
"India has to work out interim practical arrangements, without getting in the way of Iran or US An Indian tanker faced fire in the Strait of Hormuz. The waterway's status is uncertain despite claims of openness. International maritime law principles are challenged by national interests. India faces a complex situation with multiple Iranian entities invo…",REAL
"Nepal duty checks hit border bazaars from Dharchula to Darjeeling, spark protests India News: NEW DELHI: Nepal’s Balendra Shah-led new govt’s stricter enforcement of customs duty of up to 80% on goods worth over Nepali Rs 100 (Rs 63) bought fro.",REAL
Royals' All-Star lefty with 3.97 ERA headlines six Kansas City trade candidates There could be a lot of top names on the move from the Royals this year.,REAL
"Global strategic oil inventory totaled 2.5 billion barrels at end of 2025, EIA says Global strategic oil reserves reached 2.5 billion barrels by year-end. China, the United States, and Japan hold the largest stockpiles. The US is releasing oil to lower prices. Other nations also maintain significant reserves. China notably increased its rese…",REAL
"Bain Capital sole contender for Vitabiotics buy TPG, EQT chose to opt out from final bids. UK’s largest nutraceutical company with operations in India, UK, China exports to 100 countries. Company was originally valued at £900 mn.",REAL
"Varma's thrilling century sets up Mumbai win in IPL India batter Tilak Varma produced an innings of thrilling acceleration to record his first Indian Premier League century and earn Mumbai Indians a crucial and commanding win over Gujarat Titans. Left-hander Tilak, who came in at 44-3 in the sixth over, had on…",REAL
"Digital Gold explained: Here's all you need to know about cost, associated charges, risk and tax liability for the asset If your investment in gold is not for personal use, there are other alternatives to choose when looking to invest in the asset instead of purchasing physical gold. We explore digital gold — what it means, its cost, associated charges, tax liability and regula…",REAL
"RBI plans to remain nimble to prevent persistent supply shock amid West Asia crisis Reserve Bank of India Governor Sanjay Malhotra addressed global challenges at Princeton University, stressing upon agile monetary policy to counter supply shocks from West Asia. The focus is on preventing inflation from becoming persistent. Prudent fiscal man…",REAL
"RBI plans to remain nimble to prevent persistent supply shock amid West Asia crisis Reserve Bank of India Governor Sanjay Malhotra addressed global challenges at Princeton University, stressing upon agile monetary policy to counter supply shocks from West Asia. The focus is on preventing inflation from becoming persistent. Prudent fiscal man…",REAL
"Deal activity value jumps 18 pc to USD 123.8 bn in 2025; volumes drop marginally India's deal activity saw a significant rise in 2025. Deal values increased by 18 percent to USD 123.8 billion. This growth occurred even as the number of transactions decreased. Investors focused on larger, strategic deals in infrastructure and financial ser…",REAL
"RBI governor signals cautious, data-led approach as West Asia risks mount Governor Sanjay Malhotra highlighted in an address in the US the importance of managing second-round effects of supply shocks on inflation, asserting that India's robust monetary policy framework has helped the economy navigate various internal and external c…",REAL
"Is XRP Gearing Up For A 35% Move? This Pattern May Suggest So A crypto analyst has pointed out how a Symmetrical Triangle forming on the 12-hour XRP price could hint at a notable move ahead for the asset. XRP Is Potentially Moving Inside A Symmetrical Triangle In a new post on X, analyst Ali Martinez has shared a techni…",REAL
"Suzlon enters into initial pact with Korean firm GS E&C for RE biz in India Suzlon Energy and Korean firm GS E&C have signed an initial pact to partner in India's renewable energy sector, focusing on project development and solution optimization. Additionally, GS E&C will cooperate with Arie Energy LLP on wind farm repowering project…",REAL
"KTM 350cc Duke and Adventure launched in India: Price, specs, and what's different KTM has launched new 350cc variants of the 390 Duke and 390 Adventure in India, leveraging a lower GST slab to make its performance bikes more accessible. Priced significantly lower than their 399cc counterparts, these models offer a compelling entry point in…",REAL
"CBI arrests two RCOM senior officials in bank 'fraud' case The two executives were important functionaries of the Reliance Communications group, managing corporate finance, banking operations, payments/utilisation of funds, etc.",REAL
"Nestle India earnings: Numbers are just one part, look beyond them for clarity Nestle India will be reporting its January-March 2026 results – the first full year-end report card under new chief executive Manish Tiwary, the former Amazon India boss who took over from Suresh Narayanan last August. The headline will say that the company i…",REAL
"SBI targets ‘balance-sheet size of 25% of India’s GDP by 2030’ SBI aims to expand its balance sheet to 25% of India's GDP by 2030, enhancing market share across 800 districts.",REAL
Phase-I of bilateral trade agreement with US almost ready: Piyush Goyal Trade conversations are heating up in Washington as India and the US engage in crucial discussions aimed at enhancing economic ties. At the forefront are negotiations on preferential market access that could allow for a more favorable entry of Indian products…,REAL
India seeks preferential market access in US for domestic goods: Piyush Goyal Trade conversations are heating up in Washington as India and the US engage in crucial discussions aimed at enhancing economic ties. At the forefront are negotiations on preferential market access that could allow for a more favorable entry of Indian products…,REAL
"Global wind installations rise 40pc in 2025, industry charts way out of energy crisis: Report The Global Wind Energy Council's (GWEC) 2026 Report, published at a time of supply shocks and fast-rising prices in international oil and gas markets, shows how a resilient wind industry continues to grow at pace as a lynchpin of the energy transition, a stat…",REAL
"Global Foot and Ankle Devices Market to Observe Stunning Growth at a CAGR of ~8% by 2034 | DelveInsight The rising incidence of foot and ankle conditions, including arthritis, fractures, tendon injuries, and structural deformities, is driving increased demand for advanced medical devices that offer support, reduce pain, and aid recovery. At the same time, the g…",REAL
"You won't believe AI's take on the 'history' of Stonehenge — and I am so over AI slop Heaven help us — YouTube is now overflowing with historical AI slop, and it's making it hard to find the real thing.",REAL
"Dhurandhar actor Rakesh Bedi says he visited Javed Akhtar home for free alcohol, shares Saath Saath payment story Actor Rakesh Bedi is experiencing a career resurgence with his role in the hit film Dhurandhar: The Revenge. Filmmaker Farah Khan recently reminisced about their early days, recalling Bedi's frequent visits to her family home during his FTII days. The film's …",REAL
"Who rules Iran? Hormuz exposes shadow power play behind the curtain Iran's abrupt policy shifts over the Strait of Hormuz have revealed internal power struggles, not just diplomatic confusion. The IRGC's coercive actions contradicted de-escalation efforts, suggesting that security organs now hold significant sway, potentially…",REAL
At least 21 killed as bus crashes into Kashmir gorge The overcrowded bus skidded as it navigated a sharp curve in the mountainous region.,REAL
"BHIM App users can now easily track their CIBIL Score. Here's how to do it CIBIL Score integration in the BHIM Payments App enables users to securely access credit reports, track their financial health, and increase credit awareness, supporting smarter money decisions.",REAL
"5 Common VPN Myths You Should Never Fall For As VPNs have exploded in popularity in recent times, myths surrounding their privacy and use have become widespread. Here are some of these myths, debunked.",REAL
"Nearly 100 entities onboarded to use Aadhaar-based offline verification: UIDAI The Unique Identification Authority of India has welcomed nearly 100 diverse businesses into its network for offline verification, paving the way for a groundbreaking, paper-free system powered by Aadhaar. This development not only ensures secure and consent-…",REAL
Samsung devices get yet another One UI 8.5 beta update Potentially the last one before stable,REAL
"Flash floods kill woman in Guwahati; city paralysed by heavy rains A woman lost her life as flash floods and severe waterlogging wreaked havoc across Guwahati following incessant rainfall since Sunday night, severely disrupting normal life across the city. The deceased has been identified as Payal Nath, a woman in her 30s fr…",REAL
"Arrayed CRISPR Screening Market Presents Lucrative Opportunities Through 2026-2030: Total Revenue to Grow by $1.64 Billion at 17.7% CAGR Industry poised for growth, driven by advancements in precision drug discovery, rising gene therapy investments, and personalized medicine adoption Industry poised for growth, driven by advancements in precision drug discovery, rising gene therapy investments…",REAL
"From May 1, CBI notices to carry QR code to verify genuineness The Central Bureau of Investigation is launching a new system to fight cybercriminals. From May 1, CBI notices will feature a special QR code. People can scan this code using an AI-powered chatbot named ABHAY to instantly check if the notice is real. This ini…",REAL
"Public provident fund for children: Here's how to open PPF account, contribution limit, withdrawal rules, tax deductions PPF is a government-backed savings scheme with tax-exemption that parents or guardians can open for their child / minor in care, till the account holder turns 18. Here's all you need to know about the process, contribution limit, deduction, and more…",REAL
"India Today - April 27, 2026 India Today is the leading news magazine and most widely read publication in India. The magazine’s leadership is unquestioned, so much so that India Today is what Indian journalism is judged by, for its integrity and ability to bring unbiased and incisive per…",REAL
"Granular evaluation of public primary healthcare accessibility in rural India Dang, A., Ratra, V. , Singh, D. & Gupta, I. (2026). Granular evaluation of public primary healthcare accessibility in rural India. Journal of Health Organization and Management, 40(9), 266 - 284. https://doi.org/10.1108/jhom-02-2025-0065",REAL
"Cell Free Expression Industry Set to Reach USD 627 Million by 2035 - Investment in Cell Free Systems Surpasses USD 8 Billion in Last Six Years The cell free expression market presents significant opportunities in developing diverse biomolecules, driven by demand from pharmaceutical and biotech sectors The cell free expression market presents significant opportunities in developing diverse biomolecul…",REAL
"Site Management Organization Market Report 2026-2035 with Insights by Therapeutic Area, Trial Phases, Clinical Trial Components, Type of Interventions and Region The site management organization (SMO) market is set for robust growth, driven by rising clinical trial complexity and volume. Key opportunities lie in the increasing need for patient recruitment, decentralized trials, and real-world evidence. The site manage…",REAL
"Jack Daniel's owner eyeing shake-up? Decades-old distiller favours Pernod amid struggling US spirits market - Report With the potential tie-up, Brown-Forman could reportedly have a better route to market Jack Daniel’s in China and India – where demand for whiskey is rising, given Pernod's wide distribution network",REAL
Why is Trump turning to economic warfare in Iran? The Trump administration considers adding monetary munitions to its martial tool chest,REAL
Modern AI Overlord promises to keep humans as pets in spacious climate-controlled biodomes.,FAKE
Local man discovers secret to eternal life is just eating one grape per hour for 80 years.,FAKE
2026 Elections: Hologram of George Washington enters the race with 'Ghost of Liberty' platform.,FAKE
Tech Giant 'X' announces plan to replace all physical currency with 'Thoughts and Prayers' digital tokens.,FAKE
NASA confirms the moon is actually a giant disco ball left by an ancient space-faring civilization.,FAKE
